id,features
250,"[0.0, 0.004451770801097155, 0.3205881714820862, 0.07286208868026733, 0.21025347709655762, 0.0, 0.10269337147474289, 0.4948234260082245, 0.065621018409729, 0.0, 0.222497820854187, 0.5208821296691895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4369660019874573, 0.08665777742862701, 0.0]"
260,"[0.0, 0.2125052511692047, 0.14945471286773682, 0.09453354775905609, 0.14408402144908905, 0.20409095287322998, 0.06691484898328781, 0.07916229218244553, 0.29862266778945923, 0.013358170166611671, 0.10962068289518356, 0.0524921752512455, 0.3602951765060425, 0.0, 0.605418860912323, 0.34379756450653076, 0.20389240980148315, 0.006516437511891127, 0.6086226105690002, 0.17267492413520813]"
270,"[0.005734455306082964, 0.0809013769030571, 0.2448187917470932, 0.0, 0.0, 0.0, 0.2083805501461029, 0.0, 0.2237885445356369, 0.5483657121658325, 0.05545685812830925, 0.0, 0.0, 0.06335917115211487, 0.5787973403930664, 0.0, 0.0, 0.0, 0.0, 0.0]"
280,"[0.0, 0.09985433518886566, 0.2520580291748047, 0.0, 0.0, 0.0, 0.09381081908941269, 0.30308106541633606, 0.087274469435215, 0.13686023652553558, 0.0, 0.0, 0.0, 0.004712871741503477, 0.4915120601654053, 0.0, 0.0, 0.5400645136833191, 0.0, 0.23382791876792908]"
290,"[0.0, 0.0, 0.6080120801925659, 0.0, 0.0, 0.0, 0.10251014679670334, 0.0, 0.0, 0.0, 0.12850037217140198, 0.670358419418335, 0.048115745186805725, 0.0, 0.0, 0.2902127206325531, 0.0, 0.02448989637196064, 0.11271630972623825, 0.0]"
300,"[0.0, 0.0, 0.6928151845932007, 0.0, 0.0, 0.0, 0.07279834896326065, 0.0, 0.0, 0.0, 0.08719802647829056, 0.6380403637886047, 0.0, 0.0, 0.0, 0.1678571105003357, 0.0, 0.010789444670081139, 0.0, 0.0]"
310,"[0.0, 0.042934633791446686, 0.33656150102615356, 0.0, 0.0, 0.0, 0.07693899422883987, 0.29477208852767944, 0.0, 0.15507134795188904, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1228451207280159, 0.0, 0.7371060848236084, 0.0, 0.2257484346628189]"
320,"[0.09177519381046295, 0.17500020563602448, 0.15120835602283478, 0.014694456942379475, 0.23503148555755615, 0.0, 0.10829879343509674, 0.08793984353542328, 0.5873064398765564, 0.09304095059633255, 0.13658471405506134, 0.03240995481610298, 0.0, 0.6838571429252625, 0.03265722095966339, 0.1304248869419098, 0.0, 0.0, 0.2085508406162262, 0.39974266290664673]"
330,"[0.0, 0.03746815025806427, 0.3364364504814148, 0.0021337128710001707, 0.11804283410310745, 0.013370443135499954, 0.01850232668220997, 0.014105678535997868, 0.2416234016418457, 0.06354781240224838, 0.23024608194828033, 0.06703149527311325, 0.08583852648735046, 0.0, 0.0, 0.5814964175224304, 0.0, 0.0, 0.49765995144844055, 0.0]"
340,"[0.0, 0.0, 0.05854256823658943, 0.0872889831662178, 0.21834053099155426, 0.6355873942375183, 0.0, 0.04877965524792671, 0.0, 0.0, 0.4748140275478363, 0.24969112873077393, 0.0659954696893692, 0.0, 0.0, 0.0, 0.0, 0.0628962516784668, 0.048817433416843414, 0.0]"
350,"[0.0, 0.005159673746675253, 0.0, 0.0, 0.0, 0.06413325667381287, 0.04239555820822716, 0.0, 0.0, 0.0, 0.11091151088476181, 0.008389435708522797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07587890326976776, 0.02655792236328125]"
360,"[0.0, 0.02403959631919861, 0.0, 0.0, 0.2447131872177124, 0.2821827828884125, 0.0, 0.0, 0.0, 0.0, 0.178278386592865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001179176731966436, 0.0, 0.5999435782432556, 0.04739130288362503]"
370,"[0.0, 0.0, 0.009038805961608887, 0.0, 0.0, 0.0, 0.25659677386283875, 0.00766620272770524, 0.0, 0.0, 0.007176942657679319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
380,"[0.0, 0.0, 0.1769670993089676, 0.0, 0.0, 0.0, 0.8152619004249573, 0.0, 0.0, 0.0, 0.12869495153427124, 0.025090033188462257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
390,"[0.2787763476371765, 0.10528147220611572, 0.15116189420223236, 0.0, 0.21816971898078918, 0.27212437987327576, 0.06529571861028671, 0.0, 0.5658226013183594, 0.37185388803482056, 0.15922428667545319, 0.06713883578777313, 0.0, 0.0, 0.034061793237924576, 0.017290091142058372, 0.016423745080828667, 0.0, 0.1758567988872528, 0.0]"
400,"[0.0, 0.0, 0.6974349617958069, 0.0, 0.0, 0.0, 0.06656843423843384, 0.0, 0.0, 0.0, 0.0, 0.12307396531105042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
410,"[0.0, 0.46135300397872925, 0.0, 0.0, 0.0, 0.056670866906642914, 0.0, 0.0, 0.0, 0.0, 0.1520586609840393, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3773394227027893, 0.026582935824990273]"
420,"[0.0, 0.0, 0.0, 0.19699828326702118, 0.12515901029109955, 0.120088592171669, 0.0, 0.03197432681918144, 0.0, 0.0, 0.5428217649459839, 0.34609001874923706, 0.19403670728206635, 0.0, 0.0, 0.0, 0.0, 0.06952288746833801, 0.4432479739189148, 0.0]"
430,"[0.0, 0.0, 0.3272651731967926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014778821729123592, 0.2895522713661194, 0.12404060363769531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
440,"[0.0, 0.0, 0.16213780641555786, 0.0, 0.0, 0.025283847004175186, 0.031001100316643715, 0.0, 0.5651527643203735, 0.02222488261759281, 0.25072336196899414, 0.0408218577504158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15346240997314453, 0.0]"
450,"[0.0, 0.0, 0.016926050186157227, 0.0, 0.0, 0.0, 0.46405598521232605, 0.008581389673054218, 0.0, 0.0, 0.0034728774335235357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
460,"[0.0, 0.0, 0.5270185470581055, 0.0, 0.0, 0.0, 0.0011484877904877067, 0.0, 0.0, 0.3622307777404785, 0.06552493572235107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
470,"[0.02211167849600315, 0.036732278764247894, 0.2368723601102829, 0.199809268116951, 0.15207532048225403, 0.10670977085828781, 0.06728614866733551, 0.15777860581874847, 0.0, 0.031519658863544464, 0.18230588734149933, 0.29116591811180115, 0.23791541159152985, 0.06566247344017029, 0.009388543665409088, 0.2200213521718979, 0.0, 0.9358391761779785, 0.14269588887691498, 0.03994690254330635]"
480,"[0.15106482803821564, 0.0872577354311943, 0.19791966676712036, 0.18441607058048248, 0.10830757766962051, 0.42148497700691223, 0.14970754086971283, 0.013255855068564415, 0.11476355046033859, 0.11206581443548203, 0.1233523041009903, 0.3479248881340027, 0.7229807376861572, 0.06911604106426239, 0.011859206482768059, 0.3023498058319092, 0.09692316502332687, 0.24152621626853943, 0.20201319456100464, 0.32025471329689026]"
490,"[0.7149976491928101, 0.11655695736408234, 0.13523279130458832, 0.1752697378396988, 0.23401948809623718, 0.13216373324394226, 0.1355433464050293, 0.20578020811080933, 0.16509808599948883, 0.19243404269218445, 0.07343636453151703, 0.3415416181087494, 0.3091546595096588, 0.3927668333053589, 0.22688919305801392, 0.2935348153114319, 0.38532283902168274, 0.251099556684494, 0.08620795607566833, 0.4544648826122284]"
500,"[0.0, 0.0, 0.023307260125875473, 0.0, 0.1115342229604721, 0.21539238095283508, 0.0, 0.061600055545568466, 0.0, 0.0, 0.675591766834259, 0.08650672435760498, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10740308463573456, 0.0, 0.0]"
510,"[0.0, 0.0, 0.026663942262530327, 0.0, 0.4941183626651764, 0.0, 0.0, 0.0, 0.23217765986919403, 0.0, 0.34018319845199585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31775403022766113, 0.0]"
520,"[0.0, 0.0, 0.3580267131328583, 0.0, 0.0, 0.0, 0.09947062283754349, 0.0, 0.27934685349464417, 0.0, 0.12627442181110382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
530,"[0.006851870566606522, 0.1493522673845291, 0.17186924815177917, 0.0, 0.6395468711853027, 0.08997593820095062, 0.0, 0.12187806516885757, 0.2316877841949463, 0.06918192654848099, 0.1689639687538147, 0.0, 0.0, 0.019565347582101822, 0.008930245414376259, 0.10752717405557632, 0.09902194142341614, 0.08035221695899963, 0.0, 0.0]"
540,"[0.1609245091676712, 0.14693637192249298, 0.17759160697460175, 0.04758787900209427, 0.5698922276496887, 0.010284023359417915, 0.07366117089986801, 0.5677412748336792, 0.3568665385246277, 0.10228129476308823, 0.14939814805984497, 0.18602852523326874, 0.044302742928266525, 0.06188665330410004, 0.07569025456905365, 0.3155965507030487, 0.3182344436645508, 0.14875280857086182, 0.07762730866670609, 0.021631350740790367]"
550,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.21917900443077087, 0.028682764619588852, 0.0, 0.0, 0.0, 0.5425857305526733, 0.023539520800113678, 0.0, 0.32236313819885254, 0.0, 0.0, 0.0, 0.0, 0.1353529691696167, 0.08833301812410355]"
560,"[0.01183630432933569, 0.02116686850786209, 0.20883308351039886, 0.0635155439376831, 0.4383440315723419, 0.12459852546453476, 0.01067427359521389, 0.0014697209699079394, 0.6705616116523743, 0.04625849053263664, 0.2408759444952011, 0.21444770693778992, 0.0, 0.03302136808633804, 0.0, 0.026606962084770203, 0.041345734149217606, 0.08334194123744965, 0.1707085818052292, 0.0041571506299078465]"
570,"[0.0, 0.042694829404354095, 0.2518819570541382, 0.0, 0.0, 0.0, 0.11198999732732773, 0.2902091145515442, 0.049080878496170044, 0.06337377429008484, 0.007773314602673054, 0.0, 0.0, 0.0, 0.0, 0.0033191791735589504, 0.0, 0.8206507563591003, 0.022224850952625275, 0.17239975929260254]"
580,"[0.056724198162555695, 0.04857487231492996, 0.1523587554693222, 0.0, 0.0, 0.0, 0.1979803740978241, 0.0, 0.45656582713127136, 0.340820848941803, 0.15066833794116974, 0.0, 0.0, 0.496324360370636, 0.010086962953209877, 0.0, 0.0, 0.0, 0.20547913014888763, 0.22147437930107117]"
590,"[0.0, 0.0, 0.36076322197914124, 0.0, 0.0, 0.0, 0.08535129576921463, 0.0, 0.0, 0.0, 0.06272175908088684, 0.0, 0.0, 0.26363664865493774, 0.11874846369028091, 0.0, 0.0, 0.24672092497348785, 0.0, 0.0]"
600,"[0.15512871742248535, 0.022271929308772087, 0.24793337285518646, 0.0, 0.0, 0.0, 0.19185349345207214, 0.08771214634180069, 0.46579793095588684, 0.6295177936553955, 0.1322031170129776, 0.0, 0.0, 0.0, 0.0, 0.04837916046380997, 0.0, 0.0, 0.09886225312948227, 0.0]"
610,"[0.11429272592067719, 0.10261493176221848, 0.13858260214328766, 0.10193371772766113, 0.46312323212623596, 0.3611083924770355, 0.10347209870815277, 0.0466819629073143, 0.5421677827835083, 0.1366809755563736, 0.09513511508703232, 0.23711471259593964, 0.1943855732679367, 0.03874297812581062, 0.09004157781600952, 0.26886335015296936, 0.682330310344696, 0.07880409806966782, 0.29589760303497314, 0.27606770396232605]"
620,"[0.039199937134981155, 0.0, 0.026369953528046608, 0.15160347521305084, 0.0, 0.18721912801265717, 0.7013898491859436, 0.0, 0.0, 0.0, 0.28917446732521057, 0.16768816113471985, 0.0, 0.4470825493335724, 0.36423030495643616, 0.0, 0.0, 0.06374956667423248, 0.03516743332147598, 0.17511612176895142]"
630,"[0.0, 0.20403450727462769, 0.21438057720661163, 0.0, 0.39461246132850647, 0.03337964043021202, 0.12293346971273422, 0.19613489508628845, 0.4890685975551605, 0.034960776567459106, 0.08491238951683044, 0.1211366057395935, 0.029342597350478172, 0.0, 0.09120968729257584, 0.2104027420282364, 0.07791469991207123, 0.0, 0.45785772800445557, 0.16352003812789917]"
640,"[0.0, 0.15404148399829865, 0.0, 0.0, 0.15326307713985443, 0.0, 0.0, 0.12390461564064026, 0.0, 0.0, 0.2708490788936615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18240079283714294, 0.0]"
650,"[0.04262533411383629, 0.1373213827610016, 0.20042826235294342, 0.020412927493453026, 0.7216928005218506, 0.042082276195287704, 0.045173753052949905, 0.55182945728302, 0.46054911613464355, 0.10962409526109695, 0.10286693274974823, 0.25649353861808777, 0.025010382756590843, 0.0, 0.013667712919414043, 0.2825743854045868, 0.20306873321533203, 0.10110539942979813, 0.11794108152389526, 0.0]"
660,"[0.0, 0.0, 0.0, 0.2327636331319809, 0.0, 0.0, 0.2921653687953949, 0.0, 0.0, 0.0, 0.3559321463108063, 0.0, 0.0, 0.2613008916378021, 0.0, 0.0, 0.09959498047828674, 0.028526905924081802, 0.0, 0.0]"
670,"[0.0, 0.0, 0.3437410593032837, 0.0, 0.0, 0.0, 0.0, 0.1671869158744812, 0.0, 0.0, 0.2803456485271454, 0.0, 0.0, 0.0, 0.013563545420765877, 0.03499732166528702, 0.0, 0.0, 0.13057558238506317, 0.0]"
680,"[0.0, 0.0, 0.0, 0.12424500286579132, 0.0, 0.0, 0.5022646188735962, 0.0630820021033287, 0.0, 0.0, 0.38196298480033875, 0.0, 0.0, 0.009013502858579159, 0.0, 0.0, 0.0, 0.07870438694953918, 0.0, 0.0]"
690,"[0.2852136790752411, 0.05442181974649429, 0.1280427724123001, 0.38104668259620667, 0.10435020178556442, 0.37831956148147583, 0.13579481840133667, 0.0, 0.21269014477729797, 0.08991492539644241, 0.1228056401014328, 0.36928248405456543, 0.1751539409160614, 0.5205006003379822, 0.045951616019010544, 0.03418729454278946, 0.18226078152656555, 0.06159047409892082, 0.1503416895866394, 0.71116042137146]"
700,"[0.0, 0.0, 0.1497812271118164, 0.0, 0.0, 0.0, 0.08312699943780899, 0.0, 0.18214544653892517, 0.0, 0.19991083443164825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22197043895721436, 0.0]"
710,"[0.0, 0.0, 0.8144401907920837, 0.0, 0.0, 0.0, 0.06659142673015594, 0.15065698325634003, 0.0, 0.0, 0.20913459360599518, 0.07250098884105682, 0.0, 0.03487717732787132, 0.0, 0.20389914512634277, 0.0, 0.014011522755026817, 0.13741964101791382, 0.0]"
720,"[0.0, 0.002777718473225832, 0.2687341570854187, 0.0, 0.3014390170574188, 0.06680486351251602, 0.02681809291243553, 0.0, 0.04219069331884384, 0.0, 0.3920988440513611, 0.3465639650821686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09645882993936539, 0.008147302083671093]"
730,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058389563113451004, 0.0, 0.02812817320227623, 0.0, 0.16890043020248413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04419603943824768, 0.0]"
740,"[0.0, 0.0, 0.18992666900157928, 0.0, 0.0, 0.0, 0.0, 0.05739481747150421, 0.0, 0.0, 0.18363036215305328, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1991947591304779, 0.0]"
750,"[0.0, 0.0, 0.22939175367355347, 0.03982827439904213, 0.28954029083251953, 0.03396909683942795, 0.0, 0.11471725255250931, 0.0, 0.0, 0.5694994330406189, 0.6063461899757385, 0.07816531509160995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1762254387140274, 0.0]"
760,"[0.047886792570352554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14284412562847137, 0.0, 0.0, 0.33889105916023254, 0.4286767244338989, 0.23856879770755768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
770,"[0.0, 0.0, 0.023158466443419456, 0.07317952066659927, 0.12411407381296158, 0.04136163368821144, 0.0, 0.0, 0.0, 0.0, 0.32477763295173645, 0.0405052974820137, 0.10839333385229111, 0.0, 0.0, 0.13090476393699646, 0.0, 0.06949640065431595, 0.9023416638374329, 0.0]"
780,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18672890961170197, 0.0, 0.0, 0.0, 0.11802978813648224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
790,"[0.06784489005804062, 0.014202577993273735, 0.05941696837544441, 0.22139528393745422, 0.11697101593017578, 0.40843427181243896, 0.6518893837928772, 0.0, 0.08553941547870636, 0.0, 0.3349648118019104, 0.2480899691581726, 0.016561761498451233, 0.03204083815217018, 0.0014420164516195655, 0.0, 0.0, 0.35284778475761414, 0.034090179949998856, 0.06556379050016403]"
800,"[0.0, 0.0, 0.12183627486228943, 0.0, 0.04858751595020294, 0.019346069544553757, 0.08195634186267853, 0.0, 0.025821082293987274, 0.01751931756734848, 0.1444229632616043, 0.04649630934000015, 0.048406898975372314, 0.04707600548863411, 0.0, 0.046665266156196594, 0.0, 0.055259332060813904, 0.5882300138473511, 0.21138526499271393]"
810,"[0.0, 0.0, 0.20427119731903076, 0.24580545723438263, 0.2872196137905121, 0.1252182424068451, 0.0010234839282929897, 0.011252650059759617, 0.0, 0.0, 0.45452165603637695, 0.08637834340333939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.426358699798584, 0.0, 0.0]"
820,"[0.0, 0.7904025912284851, 0.13157768547534943, 0.06619720906019211, 0.11583200097084045, 0.11939845234155655, 0.0, 0.0, 0.07763984054327011, 0.0, 0.08588998764753342, 0.028865212574601173, 0.031416479498147964, 0.0, 0.0, 0.04135613515973091, 0.05422442406415939, 0.08344656974077225, 0.5424239635467529, 0.11844561249017715]"
830,"[0.0, 0.0, 0.06488693505525589, 0.11710772663354874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030520053580403328, 0.07412640005350113, 0.0, 0.20553135871887207, 0.0, 0.0, 0.08649885654449463, 0.0, 0.2677398920059204, 0.4521174132823944, 0.5220881700515747]"
840,"[0.0, 0.0, 0.0, 0.07384476065635681, 0.0, 0.02012297883629799, 0.0, 0.024657702073454857, 0.0, 0.0, 0.4474068880081177, 0.0, 0.03977441042661667, 0.0, 0.0, 0.0, 0.0, 0.11317216604948044, 0.0, 0.0]"
850,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.03854548931121826, 0.0, 0.0, 0.0, 0.0, 0.4443899393081665, 0.21642854809761047, 0.0477605015039444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41738834977149963, 0.0]"
860,"[0.0, 0.0, 0.14688049256801605, 0.0, 0.0, 0.0, 0.08027595281600952, 0.0, 0.0, 0.0, 0.11268626898527145, 0.025889992713928223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7104601860046387, 0.0, 0.10304979234933853]"
870,"[0.0, 0.11130797863006592, 0.4030619263648987, 0.0, 0.0, 0.0, 0.02274666167795658, 0.36860373616218567, 0.0, 0.0, 0.11238974332809448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07108718901872635, 0.0, 0.21416808664798737, 0.0]"
880,"[0.12076473236083984, 0.0, 0.08394264429807663, 0.2891506552696228, 0.11877106130123138, 0.509666919708252, 0.00010577045031823218, 0.010685691609978676, 0.10944893956184387, 0.05346711724996567, 0.281082421541214, 0.4264207184314728, 0.55384361743927, 0.039429597556591034, 0.0, 0.07807673513889313, 0.0, 0.24354399740695953, 0.14424264430999756, 0.0]"
890,"[0.0, 0.0, 0.0, 0.01885933056473732, 0.0, 0.09658361226320267, 0.0, 0.0, 0.0, 0.0, 0.20171880722045898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
