movie_id,movie_title,movie_genres,poster_url
2396,Shakespeare in Love (1998),"4, 14",https://image.tmdb.org/t/p/w500/zdW7jdzPi4J9KZR3TyY2jn3Xh5e.jpg
832,Ransom (1996),"7, 16",https://image.tmdb.org/t/p/w500/v05Zi28HlV0ZJ3JlLbKQbISOD0r.jpg
2145,Pretty in Pink (1986),"4, 7, 14",https://image.tmdb.org/t/p/w500/jeFJyzJBufJexpOuywuPp8q2tCJ.jpg
2115,Indiana Jones and the Temple of Doom (1984),"0, 1",https://image.tmdb.org/t/p/w500/om61eim8XwLfh6QXzh2r0Q4blBz.jpg
2003,Gremlins (1984),"4, 10",https://image.tmdb.org/t/p/w500/6m0F7fsXjQvUbCZrPWcJNrjvIui.jpg
3421,Animal House (1978),4,https://image.tmdb.org/t/p/w500/fWooBbipMRIKeSRhEzmeaDV0T8H.jpg
3396,"Muppet Movie, The (1979)","3, 4",https://image.tmdb.org/t/p/w500/8LUjnIW5ph6pHoXDE3Zg4iVi6BV.jpg
1240,"Terminator, The (1984)","0, 15, 16",https://image.tmdb.org/t/p/w500/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg
587,Ghost (1990),"4, 14, 16",https://image.tmdb.org/t/p/w500/w9RaPHov8oM5cnzeE27isnFMsvS.jpg
608,Fargo (1996),"5, 7, 16",https://image.tmdb.org/t/p/w500/rUjUCT6GvFS475sKJVfHWZUdnv5.jpg
2779,Heaven Can Wait (1978),4,https://image.tmdb.org/t/p/w500/c0jKfLvvggNqvMDhOWxaBMGXkz7.jpg
2053,"Honey, I Blew Up the Kid (1992)","3, 4, 15",https://image.tmdb.org/t/p/w500/4EGqDo2pP2ZL0TCcYDGnwsU8liQ.jpg
3471,Close Encounters of the Third Kind (1977),"7, 15",https://image.tmdb.org/t/p/w500/yaPx3cK9zGFX3SbcKwxWM1QIbUh.jpg
1231,"Right Stuff, The (1983)",7,https://image.tmdb.org/t/p/w500/btqTjNRxecYgQ1FGfVlLqSSNjz.jpg
2716,Ghostbusters (1984),"4, 10",https://image.tmdb.org/t/p/w500/7E8nLijS9AwwUEPu2oFYOVKhdFA.jpg
1537,Shall We Dance? (Shall We Dansu?) (1996),4,https://image.tmdb.org/t/p/w500/aGIyiQv08Gw1HO5BV1yrwCWtGHC.jpg
1732,"Big Lebowski, The (1998)","4, 5, 13, 16",https://image.tmdb.org/t/p/w500/9mprbw31MGdd66LR0AQKoDMoFRv.jpg
2629,"Love Letter, The (1999)","4, 14",https://image.tmdb.org/t/p/w500/aJ1GqLcd0nyuTSbMgKXbdK4JYev.jpg
2407,Cocoon (1985),"4, 15",https://image.tmdb.org/t/p/w500/wqNNm36j3nkucAucHEGAW5pNZcd.jpg
3811,Breaker Morant (1980),"7, 18",https://image.tmdb.org/t/p/w500/Nr46BDNjBtz3s0wRvm84eK3PXl.jpg
2717,Ghostbusters II (1989),"4, 10",https://image.tmdb.org/t/p/w500/yObYPMA58DnTMvJooFW7GG6jWAt.jpg
22,Copycat (1995),"5, 7, 16",https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg
2872,Excalibur (1981),"0, 7, 8, 14",https://image.tmdb.org/t/p/w500/cTWF6zkr5mUOnheowKODIijWYcN.jpg
2677,Buena Vista Social Club (1999),6,https://image.tmdb.org/t/p/w500/b203Z3qwCRMLOY00XZh4qNQCwM4.jpg
1276,Cool Hand Luke (1967),"4, 7",https://image.tmdb.org/t/p/w500/4ykzTiHKLamh3eZJ8orVICtU2Jp.jpg
81,Things to Do in Denver when You're Dead (1995),"5, 7, 14",https://image.tmdb.org/t/p/w500/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg
1036,Die Hard (1988),"0, 16",https://image.tmdb.org/t/p/w500/1NnCbaFaWgHczKjH5Eii46VmpPp.jpg
3868,"Naked Gun: From the Files of Police Squad!, The (1988)",4,https://image.tmdb.org/t/p/w500/zT0mhZqZQJE1gSY5Eg9qcGP4NYo.jpg
1997,"Exorcist, The (1973)",10,https://image.tmdb.org/t/p/w500/d07xtqwq1uriQ1hda6qeu8Skt5m.jpg
1275,Highlander (1986),"0, 1",https://image.tmdb.org/t/p/w500/8Z8dptJEypuLoOQro1WugD855YE.jpg
1292,Being There (1979),4,https://image.tmdb.org/t/p/w500/uoSMXpNuEDsUzTOxqIEERBja92d.jpg
2243,Broadcast News (1987),"4, 7, 14",https://image.tmdb.org/t/p/w500/kQNR1Lc0qAF5xuBySpDn481KVjb.jpg
2857,Yellow Submarine (1968),"2, 12",https://image.tmdb.org/t/p/w500/cjrGM2QYlwzV6vXz2yF7y6fdTRu.jpg
275,Mixed Nuts (1994),4,https://image.tmdb.org/t/p/w500/rI5oZR0ov3ki72Gy1QDM8XJ43mo.jpg
628,Primal Fear (1996),"7, 16",https://image.tmdb.org/t/p/w500/qJf2TzE8nRTFbFMPJNW6c8mI0KU.jpg
2989,For Your Eyes Only (1981),0,https://image.tmdb.org/t/p/w500/xV4Nnr6DjjERlqNikqDQX8LUgua.jpg
1263,"Deer Hunter, The (1978)","7, 18",https://image.tmdb.org/t/p/w500/bbGtogDZOg09bm42KIpCXUXICkh.jpg
3004,"Bachelor, The (1999)","4, 14",https://image.tmdb.org/t/p/w500/59fK0TpSOsruL0jfCTPfIrHqYx0.jpg
2565,"King and I, The (1956)",12,https://image.tmdb.org/t/p/w500/kbEA2LEFh1MX9EraNQSiq9ajs24.jpg
939,"Reluctant Debutante, The (1958)","4, 7",https://image.tmdb.org/t/p/w500/prqscm98H6Ybt5AD8JvIhOgqXFO.jpg
512,Robert A. Heinlein's The Puppet Masters (1994),"10, 15",https://image.tmdb.org/t/p/w500/mzq5uA0P5nfTH8Fl7OESeuDop8P.jpg
43,Restoration (1995),7,https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
3799,Pokémon the Movie 2000 (2000),"2, 3",https://image.tmdb.org/t/p/w500/se72V9kyqmJYF1HLu5F7TEUU41g.jpg
824,Kaspar Hauser (1993),7,https://image.tmdb.org/t/p/w500/186Rl8qNhOHXWN6cMYs1sHFDUwi.jpg
293,"Professional, The (a.k.a. Leon: The Professional) (1994)","5, 7, 14, 16",https://image.tmdb.org/t/p/w500/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg
1920,Small Soldiers (1998),"2, 3, 8, 18",https://image.tmdb.org/t/p/w500/2nuUjSzHsoYlRvTPmLo7m7gCQry.jpg
3784,"Kid, The (2000)",4,https://image.tmdb.org/t/p/w500/zWp8QZ1KxNrirNK9MF1EAIHjqVw.jpg
1037,"Lawnmower Man, The (1992)","0, 15, 16",https://image.tmdb.org/t/p/w500/IEjYUaviFctoYtaVMn91K8r727.jpg
1753,Half Baked (1998),4,https://image.tmdb.org/t/p/w500/14TmEac4bquNaEld9t0uIliYoKE.jpg
2968,Time Bandits (1981),"1, 8, 15",https://image.tmdb.org/t/p/w500/4VZtpwdhHQSa4LUkvujyGAHb1hG.jpg
3273,Scream 3 (2000),"10, 13, 16",https://image.tmdb.org/t/p/w500/qpH8ToZVlFD1bakL04LkEKodyDI.jpg
3398,"Muppets Take Manhattan, The (1984)","3, 4",https://image.tmdb.org/t/p/w500/lxOQEr3wOrDEy0VINfSoEZlIYEO.jpg
480,Jurassic Park (1993),"0, 1, 15",https://image.tmdb.org/t/p/w500/fjTU1Bgh3KJu4aatZil3sofR2zC.jpg
2001,Lethal Weapon 2 (1989),"0, 4, 5, 7",https://image.tmdb.org/t/p/w500/z35OkbOTfnalyx8LK5EPUrnKQhR.jpg
1856,Kurt & Courtney (1998),"6, 12",https://image.tmdb.org/t/p/w500/367x8xNtI1FJUn6FeCSYTXyaa6R.jpg
2336,Elizabeth (1998),7,https://image.tmdb.org/t/p/w500/yNDGST8cKQTRfqF8zgtSMeOUfkO.jpg
785,Kingpin (1996),4,https://image.tmdb.org/t/p/w500/axNjHHylLwT5oOahajqHtIEYZ10.jpg
2860,Blue Streak (1999),4,https://image.tmdb.org/t/p/w500/jek2osBtFhzU6Hjj7yp1egOtbqO.jpg
3752,"Me, Myself and Irene (2000)",4,https://image.tmdb.org/t/p/w500/rvRrcbLbpn7UJGRH1JupgHOeJFq.jpg
2011,Back to the Future Part II (1989),"4, 15",https://image.tmdb.org/t/p/w500/YBawEsTkUZBDajKbd5LiHkmMGf.jpg
2416,Back to School (1986),4,https://image.tmdb.org/t/p/w500/bIQH3dptGaMBtwos7j9lEHt65BV.jpg
2959,Fight Club (1999),7,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
85,Angels and Insects (1995),"7, 14",https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg
1180,Hear My Song (1991),4,https://image.tmdb.org/t/p/w500/esoksvZTmL31eJw4NLfSyJV2To5.jpg
3683,Blood Simple (1984),"7, 9",https://image.tmdb.org/t/p/w500/svU6pu4lfHn0T5BVZchVxL58HB5.jpg
457,"Fugitive, The (1993)","0, 16",https://image.tmdb.org/t/p/w500/wrBPkgK0OHB0nTTFaVMERvdUhAY.jpg
592,Batman (1989),"0, 1, 5, 7",https://image.tmdb.org/t/p/w500/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg
494,Executive Decision (1996),"0, 16",https://image.tmdb.org/t/p/w500/hLjXkFr9fHlWzRVwu1T31QSVHRq.jpg
318,"Shawshank Redemption, The (1994)",7,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
1591,Spawn (1997),"0, 1, 15, 16",https://image.tmdb.org/t/p/w500/3svvunKXkhRvEKByGDua1Qu0otq.jpg
3350,"Raisin in the Sun, A (1961)",7,https://image.tmdb.org/t/p/w500/fxGAJFfryAgdi4ONkVyrBWKDBbI.jpg
1294,M*A*S*H (1970),"4, 18",https://image.tmdb.org/t/p/w500/xZHNAcCVd5gUy68MBc4CmDqmely.jpg
265,Like Water for Chocolate (Como agua para chocolate) (1992),"7, 14",https://image.tmdb.org/t/p/w500/rXAWEI0BVblEK3hCZvTWEif0v0G.jpg
1663,Stripes (1981),4,https://image.tmdb.org/t/p/w500/vP8tPOgmJSNOh4bpOv1bFjid3rZ.jpg
3843,Sleepaway Camp (1983),10,https://image.tmdb.org/t/p/w500/qladM9OMuGWfj2hdoj8NBpScLg9.jpg
3175,Galaxy Quest (1999),"1, 4, 15",https://image.tmdb.org/t/p/w500/fZXSwgZknp81vmciTb86rw0MejV.jpg
1597,Conspiracy Theory (1997),"0, 13, 14, 16",https://image.tmdb.org/t/p/w500/wj0n6gci4EMWRhV9ozCKTgESGdB.jpg
1373,Star Trek V: The Final Frontier (1989),"0, 1, 15",https://image.tmdb.org/t/p/w500/uiXr41VLYsuug3CZbFrKLSNahuZ.jpg
111,Taxi Driver (1976),"7, 16",https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg
2840,Stigmata (1999),16,https://image.tmdb.org/t/p/w500/sKS1Vuqj7OQpOumfs6ArC0TICTN.jpg
2273,Rush Hour (1998),"0, 16",https://image.tmdb.org/t/p/w500/we7wOLVFgxhzLzUt0qNe50xdIQZ.jpg
1438,Dante's Peak (1997),"0, 16",https://image.tmdb.org/t/p/w500/8PRVIfZzDgw8EV3sDWJ6NA1ZMAn.jpg
3360,Hoosiers (1986),7,https://image.tmdb.org/t/p/w500/dHpjZQXEdoi1xNLubM1rPmTHJYz.jpg
3438,Teenage Mutant Ninja Turtles (1990),"0, 3, 8",https://image.tmdb.org/t/p/w500/azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg
3095,"Grapes of Wrath, The (1940)",7,https://image.tmdb.org/t/p/w500/eUcxMVBIA0Jg8l1RGUqycrc3eIQ.jpg
1408,"Last of the Mohicans, The (1992)","0, 14, 18",https://image.tmdb.org/t/p/w500/qzJMPWRtZveBkxXOv3ucWhoJuyj.jpg
3611,Saludos Amigos (1943),"2, 3, 4",https://image.tmdb.org/t/p/w500/kdZyHjsSHYBO53o59ZMz4fOXcmk.jpg
611,Hellraiser: Bloodline (1996),"0, 10, 15",https://image.tmdb.org/t/p/w500/tCQsVackQil2fl5TzOYrCAI6All.jpg
2918,Ferris Bueller's Day Off (1986),4,https://image.tmdb.org/t/p/w500/9LTQNCvoLsKXP0LtaKAaYVtRaQL.jpg
436,Color of Night (1994),"7, 16",https://image.tmdb.org/t/p/w500/w1OBPkf3BxeC7543YzFwiKIwBFJ.jpg
3702,Mad Max (1979),"0, 15",https://image.tmdb.org/t/p/w500/5LrI4GiCSrChgkdskVZiwv643Kg.jpg
170,Hackers (1995),"0, 5, 16",https://image.tmdb.org/t/p/w500/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg
1285,Heathers (1989),4,https://image.tmdb.org/t/p/w500/dGbVfM4WlM7uvIbyRehfPZUIgp2.jpg
2294,Antz (1998),"2, 3",https://image.tmdb.org/t/p/w500/pvpJfkzcqENTSlBKCSImi05WlXK.jpg
3328,Ghost Dog: The Way of the Samurai (1999),"5, 7",https://image.tmdb.org/t/p/w500/gkH4zOxIfbb4BEbk9Q4cVOEpDaY.jpg
2108,L.A. Story (1991),"4, 14",https://image.tmdb.org/t/p/w500/dVDCImNu9lM3MTYRaS0sWhDrm2m.jpg
1887,Almost Heroes (1998),"1, 4",https://image.tmdb.org/t/p/w500/qO1cfr4UxcwQ858Nxp470QNS3v8.jpg
2463,Ruthless People (1986),4,https://image.tmdb.org/t/p/w500/fA3f8bsXoVbIALq4EdiAwptF1ws.jpg
2054,"Honey, I Shrunk the Kids (1989)","1, 3, 4, 8, 15",https://image.tmdb.org/t/p/w500/omQOzahi2NIeiYznNxHFDvNbvo6.jpg
333,Tommy Boy (1995),4,https://image.tmdb.org/t/p/w500/dTf5qp5Pe3W8VBwWchQR7CKA0X7.jpg
2706,American Pie (1999),4,https://image.tmdb.org/t/p/w500/5P68by2Thn8wHAziyWGEw2O7hco.jpg
562,Welcome to the Dollhouse (1995),"4, 7",https://image.tmdb.org/t/p/w500/fsMMOVto87pvUQyozOF9CaT9aMR.jpg
1080,Monty Python's Life of Brian (1979),4,https://image.tmdb.org/t/p/w500/lSSA64WF0M0BXnjwr2quMh6shCl.jpg
1061,Sleepers (1996),"5, 7",https://image.tmdb.org/t/p/w500/yUpiEk2EojS9ZEXb3nIQonQCYYF.jpg
107,Muppet Treasure Island (1996),"1, 3, 4, 12",https://image.tmdb.org/t/p/w500/8UL6EcZGO1ssD60azzOtUPjnOZI.jpg
2571,"Matrix, The (1999)","0, 15, 16",https://image.tmdb.org/t/p/w500/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg
1252,Chinatown (1974),"9, 13, 16",https://image.tmdb.org/t/p/w500/kZRSP3FmOcq0xnBulqpUQngJUXY.jpg
3617,Road Trip (2000),4,https://image.tmdb.org/t/p/w500/hi6Adn2X4379LlCvQTAN5BUDbYP.jpg
3543,Diner (1982),"4, 7",https://image.tmdb.org/t/p/w500/2vKIdZ6JkFIzcQeaHg3xtdvOyRO.jpg
3160,Magnolia (1999),7,https://image.tmdb.org/t/p/w500/tpfC325Jk6S38VTe5dDWjWtoyxr.jpg
1614,In & Out (1997),4,https://image.tmdb.org/t/p/w500/jUTQp6cPgfOX4St2WfaeUvxZCts.jpg
1,Toy Story (1995),"2, 3, 4",https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2198,Modulations (1998),6,https://image.tmdb.org/t/p/w500/9qsMSdQdJFnuJG06gPWxfpgQwlq.jpg
2408,Cocoon: The Return (1988),"4, 15",https://image.tmdb.org/t/p/w500/xBsXdBl8qCXoQsWX6vfsVjWOMGk.jpg
3044,Dead Again (1991),"13, 14, 16",https://image.tmdb.org/t/p/w500/irEnDVtxox6gnRJuwtEZuxvl2vZ.jpg
2643,Superman IV: The Quest for Peace (1987),"0, 1, 15",https://image.tmdb.org/t/p/w500/aQ1d9OB0xtAenIL0Ke3xV17St4S.jpg
353,"Crow, The (1994)","0, 14, 16",https://image.tmdb.org/t/p/w500/rMMB3v6jYHjsvXRNJYESacoTD7j.jpg
3104,Midnight Run (1988),"0, 1, 4, 5",https://image.tmdb.org/t/p/w500/vT4hIPxQIfYPOwIQaTvOY2gHzJg.jpg
1129,Escape from New York (1981),"0, 1, 15, 16",https://image.tmdb.org/t/p/w500/vH9llaphjAssRGi0k7e75tD40Ce.jpg
3426,Jungle Fever (1991),"7, 14",https://image.tmdb.org/t/p/w500/pw7cOdwCylBuiv6rvosBSkcgKEe.jpg
1610,"Hunt for Red October, The (1990)","0, 16",https://image.tmdb.org/t/p/w500/yVl7zidse4KiWtGMqHFtZCx4X3N.jpg
50,"Usual Suspects, The (1995)","5, 16",https://image.tmdb.org/t/p/w500/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg
3022,"General, The (1927)",4,https://image.tmdb.org/t/p/w500/qZKKwXyZ92K0mIRpf2FbCkQa7oO.jpg
3299,Hanging Up (2000),"4, 7",https://image.tmdb.org/t/p/w500/lnnFFGhIXi6ZDU3r29eKHKTHdq0.jpg
2384,Babe: Pig in the City (1998),"3, 4",https://image.tmdb.org/t/p/w500/glO6LcTWUZcbxWT2SB4eRDnFSsP.jpg
2916,Total Recall (1990),"0, 1, 15, 16",https://image.tmdb.org/t/p/w500/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg
2081,"Little Mermaid, The (1989)","2, 3, 4, 12, 14",https://image.tmdb.org/t/p/w500/qEM80vqREgfjk7YhIbl4AgfZ47S.jpg
2926,Hairspray (1988),"4, 7",https://image.tmdb.org/t/p/w500/fgMka3HtFvI5OgW1eYdR9XpySxH.jpg
2561,True Crime (1999),"5, 16",https://image.tmdb.org/t/p/w500/nPYe83tWVSwVFRyWa6f5aaE7bbu.jpg
1247,"Graduate, The (1967)","7, 14",https://image.tmdb.org/t/p/w500/znN9T8QHkwOAHIEtLB6bC9pNd8k.jpg
2533,Escape from the Planet of the Apes (1971),"0, 15",https://image.tmdb.org/t/p/w500/AnbLVdUEroTfHTUVAJCxkL4R0IH.jpg
3930,"Creature From the Black Lagoon, The (1954)",10,https://image.tmdb.org/t/p/w500/euCzA2Exc70MpTDCVYih8tdE7z1.jpg
3504,Network (1976),"4, 7",https://image.tmdb.org/t/p/w500/gZ8hhuVEQ78CLND09trZJ45Eiy8.jpg
1367,101 Dalmatians (1996),"3, 4",https://image.tmdb.org/t/p/w500/8o2ADoAyG796UwTjwBFjPyBz0yG.jpg
3370,Betrayed (1988),"7, 16",https://image.tmdb.org/t/p/w500/37BAn5IK9SYjVE2S2JABpMXHtTX.jpg
2846,"Adventures of Milo and Otis, The (1986)",3,https://image.tmdb.org/t/p/w500/imHIqEfWRZuJ2vLow0UJ9aqjyEO.jpg
2140,"Dark Crystal, The (1982)","3, 8, 15",https://image.tmdb.org/t/p/w500/q6UYtxTxpN68PCzjQ86cVX8t8CL.jpg
3408,Erin Brockovich (2000),7,https://image.tmdb.org/t/p/w500/jEMvWBWVjndZT0vJnLrRWi9ajea.jpg
1256,Duck Soup (1933),"4, 18",https://image.tmdb.org/t/p/w500/31t63plEGKHhYuuCpC9bFWO9SBS.jpg
2005,"Goonies, The (1985)","1, 3, 8",https://image.tmdb.org/t/p/w500/eBU7gCjTCj9n2LTxvCSIXXOvHkD.jpg
222,Circle of Friends (1995),"7, 14",https://image.tmdb.org/t/p/w500/bnSBsGCIfGGiN68MSBIoviaoh9a.jpg
2657,"Rocky Horror Picture Show, The (1975)","4, 10, 12, 15",https://image.tmdb.org/t/p/w500/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg
3733,"Paper Chase, The (1973)",7,https://image.tmdb.org/t/p/w500/xqdGdasqPEV1mtWGIA1x8mrWOAe.jpg
3206,Against All Odds (1984),14,https://image.tmdb.org/t/p/w500/Ac0m41QYoxYBfRoU4cL491vOfEv.jpg
2997,Being John Malkovich (1999),4,https://image.tmdb.org/t/p/w500/xVSvIwRNzwXSs0CLefiiG6A96m4.jpg
780,Independence Day (ID4) (1996),"0, 15, 18",https://image.tmdb.org/t/p/w500/p0BPQGSPoSa8Ml0DAf2mB2kCU0R.jpg
2232,Cube (1997),"15, 16",https://image.tmdb.org/t/p/w500/iNwm6fpDqQ4WjwhYI8EW6LPklod.jpg
3527,Predator (1987),"0, 15, 16",https://image.tmdb.org/t/p/w500/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg
3578,Gladiator (2000),"0, 7",https://image.tmdb.org/t/p/w500/w0YjBWVfu689txEXZG3xa4Aev3i.jpg
3093,McCabe & Mrs. Miller (1971),"7, 19",https://image.tmdb.org/t/p/w500/eQ9hDaTNpZ4wb7FWdqoJcOCJBve.jpg
1233,"Boat, The (Das Boot) (1981)","0, 7, 18",https://image.tmdb.org/t/p/w500/kYkjQ5mTWXyHt2JFsu7sX5AjeMT.jpg
647,Courage Under Fire (1996),"7, 18",https://image.tmdb.org/t/p/w500/vDJurMJkrx049AiXa3DJx5Zx7a4.jpg
