id,features
180,"[0.019303828477859497, 0.0, 0.0, 0.0, 0.3023214638233185, 0.23994308710098267, 0.014966406859457493, 0.0, 0.1433231383562088, 0.0, 0.0, 0.3228658437728882, 0.46443119645118713, 0.0, 0.0, 0.15279391407966614, 0.18331007659435272, 0.0, 0.3055397570133209, 0.028255267068743706]"
190,"[0.46857237815856934, 0.03219890594482422, 0.0, 0.30064868927001953, 0.07633368670940399, 0.6317420601844788, 0.0, 0.0, 0.08120205998420715, 0.08739224821329117, 0.046330176293849945, 0.1479310542345047, 0.05466531589627266, 0.2692815959453583, 0.0, 0.0, 0.10807383060455322, 0.0, 0.2356928288936615, 0.40357720851898193]"
200,"[0.22084017097949982, 0.3074270486831665, 0.020633196458220482, 0.14714601635932922, 0.17858055233955383, 0.42550310492515564, 0.10827402770519257, 0.09459487348794937, 0.4880761206150055, 0.09714466333389282, 0.41195234656333923, 0.26722434163093567, 0.1696479618549347, 0.0, 0.16107772290706635, 0.18854548037052155, 0.049953918904066086, 0.06751780211925507, 0.6328845024108887, 0.19174273312091827]"
210,"[0.19392001628875732, 0.0, 0.0, 0.0, 0.0, 0.49982985854148865, 0.0, 0.0, 0.0, 0.0, 0.14821107685565948, 0.6296626329421997, 0.3430507779121399, 0.11842279881238937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006233298685401678]"
220,"[0.07809865474700928, 0.04651990532875061, 0.0, 0.11576361954212189, 0.2794422507286072, 0.2991359531879425, 0.10958117246627808, 0.0, 0.22473971545696259, 0.0, 0.0, 0.18918730318546295, 0.2912023067474365, 0.0, 0.30376729369163513, 0.039737291634082794, 0.29094138741493225, 0.0, 0.22899919748306274, 0.09296371042728424]"
230,"[0.20713616907596588, 0.15622378885746002, 0.25224852561950684, 0.07811947166919708, 0.2658884525299072, 0.2919643521308899, 0.12250340729951859, 0.0, 0.3984423577785492, 0.26767876744270325, 0.4254476726055145, 0.5085322260856628, 0.12570421397686005, 0.1623116433620453, 0.07027771323919296, 0.20184609293937683, 0.06090234965085983, 0.0, 0.4982192814350128, 0.16264137625694275]"
240,"[0.1949830800294876, 0.1970452517271042, 0.0, 0.26592302322387695, 0.008008179254829884, 0.40841415524482727, 0.17923468351364136, 0.0, 0.42326053977012634, 0.0, 0.16819576919078827, 0.4570324122905731, 0.16349202394485474, 0.0, 0.014354578219354153, 0.0, 0.1901250183582306, 0.0, 0.5057359933853149, 0.2108689248561859]"
250,"[0.2016046792268753, 0.0, 0.0, 0.3096795082092285, 0.43269768357276917, 0.10881976783275604, 0.0, 0.5991648435592651, 0.0, 0.0, 0.0, 0.21257708966732025, 0.14076368510723114, 0.33615872263908386, 0.0, 0.13302387297153473, 0.0, 0.23478616774082184, 0.3654448390007019, 0.18324410915374756]"
260,"[0.20654506981372833, 0.0018075722036883235, 0.0, 0.3611558675765991, 0.0, 0.15729659795761108, 0.20693816244602203, 0.04289788007736206, 0.021823054179549217, 0.11683015525341034, 0.12656985223293304, 0.3642337918281555, 0.2632967531681061, 0.30462563037872314, 0.0, 0.07361581176519394, 0.02513488195836544, 0.5469979047775269, 0.29660847783088684, 0.40056899189949036]"
270,"[0.2288457602262497, 0.0, 0.07418520003557205, 0.1966238170862198, 0.32941707968711853, 0.3356420695781708, 0.15033861994743347, 0.09805085510015488, 0.11703954637050629, 0.16597360372543335, 0.6016174554824829, 0.49629348516464233, 0.052923496812582016, 0.14478476345539093, 0.05493577569723129, 0.03944503143429756, 0.04786412790417671, 0.28880539536476135, 0.0, 0.0]"
280,"[0.0, 0.10284470021724701, 0.0774829238653183, 0.0, 0.0, 0.0, 0.0, 0.035078056156635284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4196684658527374, 0.1761399209499359, 0.0, 0.5258793830871582, 0.0, 0.03140570968389511]"
290,"[0.30067962408065796, 0.2822585999965668, 0.0, 0.02605520747601986, 0.3074095845222473, 0.2949961721897125, 0.0, 0.006875569932162762, 0.632804811000824, 0.017845677211880684, 0.26496800780296326, 0.6081357598304749, 0.11293342709541321, 0.02674071118235588, 0.0, 0.0541413314640522, 0.12883587181568146, 0.0, 0.15704086422920227, 0.18447409570217133]"
300,"[0.26840609312057495, 0.0, 0.27232199907302856, 0.12098435312509537, 0.17354579269886017, 0.27416953444480896, 0.017037780955433846, 0.19463606178760529, 0.02485399879515171, 0.23892509937286377, 0.34516844153404236, 0.5782248377799988, 0.01942388527095318, 0.1112593561410904, 0.0, 0.1916254311800003, 0.09907276183366776, 0.5923238396644592, 0.0, 0.04942437261343002]"
310,"[0.16486215591430664, 0.2891899645328522, 0.10588648915290833, 0.600872814655304, 0.22298173606395721, 0.14893154799938202, 0.006347934249788523, 0.42043188214302063, 0.08968019485473633, 0.15777498483657837, 0.4279327690601349, 0.005118115339428186, 0.1507454365491867, 0.0, 0.23244348168373108, 0.19575878977775574, 0.05454867705702782, 0.6132827401161194, 0.14500844478607178, 0.2319757640361786]"
320,"[0.060200463980436325, 0.0, 0.0, 0.23279298841953278, 0.10597816854715347, 0.36923089623451233, 0.015039714984595776, 0.12317316234111786, 0.0, 0.0, 0.0, 0.05103686451911926, 0.37301868200302124, 0.13276751339435577, 0.0, 0.018488477915525436, 0.1863911896944046, 0.0, 0.11873131990432739, 0.3136257231235504]"
330,"[0.0, 0.05900684744119644, 0.008809436112642288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41609761118888855, 0.0, 0.155641570687294, 0.0, 0.0, 0.0]"
340,"[0.32163673639297485, 0.0, 0.2975251078605652, 0.0, 0.0, 0.00226576323620975, 0.0, 0.09555532783269882, 0.0, 0.14366787672042847, 0.0, 0.0, 0.08804178982973099, 0.0, 0.02568434551358223, 0.3782716691493988, 0.14357732236385345, 0.3258765935897827, 0.0, 0.011289918795228004]"
350,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22789202630519867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5059651136398315, 0.034131016582250595, 0.0, 0.021550891920924187, 0.0]"
360,"[0.17779874801635742, 0.4665081202983856, 0.0, 0.0, 0.12670786678791046, 0.0, 0.0, 0.0060091144405305386, 0.5455465912818909, 0.12819992005825043, 0.0, 0.0, 0.07440966367721558, 0.02759881690144539, 0.15777358412742615, 0.239126056432724, 0.37766802310943604, 0.0946025401353836, 0.002314598998054862, 0.42598965764045715]"
370,"[0.21918417513370514, 0.0, 0.45401495695114136, 0.0, 0.0, 0.0, 0.013508010655641556, 0.04103934392333031, 0.0, 0.5483560562133789, 0.0, 0.3785010874271393, 0.16432979702949524, 0.08793675154447556, 0.04030686989426613, 0.4843282699584961, 0.0, 0.47300291061401367, 0.025558091700077057, 0.2141151875257492]"
380,"[0.11720336973667145, 0.0, 0.41496121883392334, 0.16497190296649933, 0.18217891454696655, 0.2529529929161072, 0.5937946438789368, 0.0, 0.2775348722934723, 0.19488286972045898, 0.8001681566238403, 0.4567145109176636, 0.0850859209895134, 0.1889442503452301, 0.0, 0.1830589324235916, 0.06283324956893921, 0.21611395478248596, 0.3522389829158783, 0.14105156064033508]"
390,"[0.7381249070167542, 0.0, 0.0, 0.0, 0.0, 0.016550743952393532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1991647630929947, 0.05973008647561073, 0.0, 0.738239049911499, 0.0, 0.0, 0.11615867167711258, 0.0, 0.213259756565094]"
400,"[0.05253499746322632, 0.0, 0.0, 0.1625562310218811, 0.20955206453800201, 0.0, 0.0, 0.8127091526985168, 0.0, 0.0, 0.0, 0.0, 0.06300817430019379, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06249777227640152, 0.0]"
410,"[0.0, 0.0, 0.0, 0.0, 0.14217686653137207, 0.033198390156030655, 0.0, 0.0, 0.1543990820646286, 0.0, 0.0, 0.0, 0.08995763212442398, 0.0, 0.0, 0.0, 0.33573970198631287, 0.0, 0.5598236322402954, 0.04906865209341049]"
420,"[0.0, 0.0, 0.0, 0.7034993171691895, 0.2866438031196594, 0.5078609585762024, 0.0, 0.0545385517179966, 0.0, 0.0, 0.006632315460592508, 0.0, 0.07202288508415222, 0.0, 0.15987516939640045, 0.0, 0.15685230493545532, 0.06228683888912201, 0.042151279747486115, 0.0]"
430,"[0.16894513368606567, 0.0, 0.0, 0.09715164452791214, 0.0, 0.0, 0.1587015688419342, 0.0, 0.29867619276046753, 0.01787080615758896, 0.06571699678897858, 0.0, 0.0, 0.1188780888915062, 0.0, 0.0, 0.06496556848287582, 0.0, 0.0, 0.0]"
440,"[0.16627486050128937, 0.0, 0.0, 0.01807709038257599, 0.0, 0.0, 0.020338227972388268, 0.0, 0.0, 0.0, 0.0072387210093438625, 0.0, 0.0, 1.0866484642028809, 0.0, 0.0, 0.03121872991323471, 0.0, 0.0, 0.23184789717197418]"
450,"[0.1448974311351776, 0.36842313408851624, 0.03910137340426445, 0.0, 0.0, 0.0, 0.009416097775101662, 0.0, 0.010699217207729816, 0.07328328490257263, 0.0, 0.0, 0.013576798141002655, 0.06676730513572693, 0.0, 0.2918364405632019, 0.29161980748176575, 0.15437601506710052, 0.0, 0.0]"
460,"[0.0, 0.0922270119190216, 0.02409990504384041, 0.0, 0.24993778765201569, 0.0, 0.0, 0.3583848774433136, 0.42443209886550903, 0.0, 0.0, 0.0, 0.046965692192316055, 0.0, 0.14676743745803833, 0.4280363917350769, 0.23978346586227417, 0.19928455352783203, 0.3378448784351349, 0.19925062358379364]"
470,"[0.35173049569129944, 0.002282053232192993, 0.0, 0.0, 0.14176446199417114, 0.22575126588344574, 0.03492913395166397, 0.0, 0.0, 0.0, 0.0, 0.02579454891383648, 0.2597079575061798, 0.014062758535146713, 0.0, 0.0, 0.317860871553421, 0.0, 0.0, 0.32550713419914246]"
480,"[0.0, 0.10332201421260834, 0.0, 0.0, 0.3509618937969208, 0.4156585931777954, 0.015183642506599426, 0.1698615700006485, 0.018981577828526497, 0.0, 0.11960142105817795, 0.19390392303466797, 0.2583337426185608, 0.0, 0.0, 0.0, 0.14904144406318665, 0.08699911087751389, 0.4471016228199005, 0.09102854877710342]"
490,"[0.07538203150033951, 0.14687703549861908, 0.406866192817688, 0.28935933113098145, 0.17275908589363098, 0.22963003814220428, 0.013326961547136307, 0.06540711969137192, 0.4265596568584442, 0.03782689943909645, 0.8735418915748596, 0.23443368077278137, 0.1263662874698639, 0.011025807820260525, 0.041430823504924774, 0.14251531660556793, 0.07406076043844223, 0.19778424501419067, 0.6693981885910034, 0.09650813043117523]"
500,"[0.05799607187509537, 0.025358114391565323, 0.0, 0.0, 0.002164568519219756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09659124165773392, 0.0, 0.5676339268684387, 0.0, 0.10486563295125961, 0.0, 0.0, 0.10911685228347778]"
510,"[0.15281230211257935, 0.022134168073534966, 0.0, 0.06906545907258987, 0.0, 0.004020847845822573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028074732050299644, 0.336031436920166, 0.13621211051940918, 0.0, 0.08659739792346954, 0.0, 0.0, 0.3173706829547882]"
520,"[0.13723890483379364, 0.0, 0.0, 0.208402618765831, 0.4660892188549042, 0.0, 0.013701491989195347, 0.39444825053215027, 0.15180550515651703, 0.0, 0.0, 0.10785879194736481, 0.1539687216281891, 0.0, 0.0, 0.26027703285217285, 0.14503566920757294, 0.3946306109428406, 0.0, 0.034244466572999954]"
530,"[0.26218655705451965, 0.062421105802059174, 0.36233264207839966, 0.15269649028778076, 0.24278099834918976, 0.05003732442855835, 0.028373468667268753, 0.3309604227542877, 0.07664038985967636, 0.6505289077758789, 0.23408116400241852, 0.30434125661849976, 0.034633517265319824, 0.3100709915161133, 0.08373377472162247, 0.09664873778820038, 0.07395678758621216, 0.34111684560775757, 0.0, 0.039793286472558975]"
540,"[0.24089013040065765, 0.08998698741197586, 0.1985471099615097, 0.03696632385253906, 0.15316526591777802, 0.24601440131664276, 0.1166662722826004, 0.0396600104868412, 0.297608345746994, 0.180914968252182, 0.08657445013523102, 0.5885728001594543, 0.054769158363342285, 0.058721352368593216, 0.07471001148223877, 0.2663656771183014, 0.12052267044782639, 0.05021829158067703, 0.23548883199691772, 0.13915887475013733]"
550,"[0.0, 0.07462232559919357, 0.0, 0.32750770449638367, 0.0, 0.6726179718971252, 0.04600275680422783, 0.0, 0.0, 0.0, 0.01504028681665659, 0.0, 0.361733615398407, 0.06651689857244492, 0.0017319562612101436, 0.0, 0.3040340840816498, 0.005818883888423443, 0.09273375570774078, 0.20817749202251434]"
560,"[0.08015410602092743, 0.0, 0.17494308948516846, 0.3679584860801697, 0.2773474454879761, 0.015245294198393822, 0.023432087153196335, 0.39722833037376404, 0.0, 0.03675239160656929, 0.15907864272594452, 0.2654778063297272, 0.15537409484386444, 0.07556766271591187, 0.0, 0.15465784072875977, 0.12323585897684097, 0.5970690250396729, 0.19940482079982758, 0.04206039756536484]"
570,"[0.1797766536474228, 0.07412255555391312, 0.0, 0.5505387187004089, 0.33938711881637573, 0.5634506940841675, 0.0, 0.0, 0.10724859684705734, 0.0, 0.03846364468336105, 0.18074657022953033, 0.2606952488422394, 0.0, 0.2850226163864136, 0.03981437534093857, 0.1272948682308197, 0.19643539190292358, 0.16211217641830444, 0.07372760772705078]"
580,"[0.11410677433013916, 0.05430050939321518, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4121159613132477, 0.12179598957300186, 0.0, 0.0, 0.0, 0.3575390875339508, 0.028291063383221626, 0.04764740914106369, 0.23683099448680878, 0.43147385120391846, 0.0, 0.3700152039527893]"
590,"[0.16648328304290771, 0.0, 0.0, 0.33640530705451965, 0.14785565435886383, 0.1233740895986557, 0.0, 0.21113137900829315, 0.0, 0.0, 0.0, 0.10272952169179916, 0.2818470597267151, 0.059641603380441666, 0.0, 0.0, 0.12841328978538513, 0.18182875216007233, 0.13049425184726715, 0.36869025230407715]"
600,"[0.17565633356571198, 0.04503385350108147, 0.0, 0.2930791676044464, 0.3377857804298401, 0.6635872721672058, 0.0, 0.0, 0.17667816579341888, 0.0, 0.0, 0.111967071890831, 0.2070043385028839, 0.0, 0.23634999990463257, 0.11178877204656601, 0.21179191768169403, 0.19142279028892517, 0.21374882757663727, 0.13667155802249908]"
610,"[0.1298190802335739, 0.039759110659360886, 0.0, 0.4792310297489166, 0.2923518419265747, 0.4151383340358734, 0.0, 0.071561299264431, 0.0010201273253187537, 0.0, 0.05269355699419975, 0.0, 0.20692628622055054, 0.05625662952661514, 0.0186387337744236, 0.0, 0.2123146504163742, 0.6127530336380005, 0.0, 0.15545901656150818]"
620,"[0.5497649908065796, 0.0, 0.0, 0.011726546101272106, 0.08360335230827332, 0.06704403460025787, 0.0, 0.0, 0.0, 0.32592517137527466, 0.00814526341855526, 0.08921673148870468, 0.0, 0.5529246926307678, 0.24551336467266083, 0.0, 0.0, 0.014602180570363998, 0.0, 0.14171533286571503]"
630,"[0.004440193995833397, 0.05884551629424095, 0.03249909356236458, 0.0, 0.011812967248260975, 0.05992182716727257, 0.010063285939395428, 0.0, 0.3272571265697479, 0.0, 0.0, 0.685795783996582, 0.0, 0.0, 0.0, 0.0, 0.23704326152801514, 0.0, 0.0, 0.0]"
640,"[0.2475724071264267, 0.0, 0.25661447644233704, 0.0, 0.11306025087833405, 0.18630042672157288, 0.014070690609514713, 0.06611713021993637, 0.21035556495189667, 0.19555167853832245, 0.14999566972255707, 0.5263733267784119, 0.026072978973388672, 0.1630007028579712, 0.072942815721035, 0.36132702231407166, 0.01509931031614542, 0.044402483850717545, 0.0, 0.11841628700494766]"
650,"[0.012536231428384781, 0.6648190021514893, 0.0, 0.2566154897212982, 0.6808383464813232, 0.4484140872955322, 0.0, 0.0, 0.2023598998785019, 0.0, 0.054690200835466385, 0.0, 0.07993293553590775, 0.0, 0.0, 0.0, 0.15155188739299774, 0.022335411980748177, 0.2461172342300415, 0.07644271850585938]"
660,"[0.0, 0.0, 0.0, 0.0, 0.7754588723182678, 0.0, 0.0, 0.0, 0.1164255365729332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07720333337783813, 0.0, 0.06080428883433342, 0.0]"
670,"[0.12129438668489456, 0.0, 0.1510946899652481, 0.0, 0.010004602372646332, 0.2083553969860077, 0.32782217860221863, 0.0, 0.2517264187335968, 0.15542897582054138, 0.30444735288619995, 0.6384162902832031, 0.13650402426719666, 0.17356473207473755, 0.0, 0.07497719675302505, 0.04922372102737427, 0.28035980463027954, 0.010238205082714558, 0.0887279063463211]"
680,"[0.20821513235569, 0.0, 0.0, 0.3729764223098755, 0.0, 0.0947505310177803, 0.1974189579486847, 0.3956699073314667, 0.0, 0.10848000645637512, 0.057448726147413254, 0.29287776350975037, 0.0, 0.41088244318962097, 0.0, 0.07273378223180771, 0.04033465310931206, 0.48309266567230225, 0.10925639420747757, 0.4113364517688751]"
690,"[0.0, 0.0, 0.0, 0.34142741560935974, 0.20286008715629578, 0.175643652677536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09400007128715515, 0.0, 0.0, 0.0, 0.47001227736473083, 0.0, 0.0, 0.0]"
700,"[0.20644988119602203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07198107242584229, 0.09298965334892273, 0.0, 0.0, 0.05610363185405731, 0.009068232960999012, 0.05856025964021683, 0.1472356766462326, 0.2323487251996994, 0.08372656255960464, 0.0, 0.2497272491455078]"
710,"[0.1684647649526596, 0.0, 0.5201225876808167, 0.17200148105621338, 0.3849647045135498, 0.12100593745708466, 0.27921080589294434, 0.41079816222190857, 0.08220256865024567, 0.10700195282697678, 0.17703428864479065, 0.2570403814315796, 0.12250373512506485, 0.1114182397723198, 0.0, 0.1780446618795395, 0.08452563732862473, 0.5299222469329834, 0.1679852455854416, 0.19171875715255737]"
720,"[0.3973557651042938, 0.0, 0.0, 0.32672813534736633, 0.2716672420501709, 0.29652732610702515, 0.0, 0.31796401739120483, 0.03184405341744423, 0.07568805664777756, 0.0034622892271727324, 0.24587920308113098, 0.11961091309785843, 0.3592630922794342, 0.0, 0.0012721162056550384, 0.10383134335279465, 0.43462327122688293, 0.025762826204299927, 0.22733721137046814]"
730,"[0.08470284938812256, 0.2207287847995758, 0.49191004037857056, 0.0, 0.0, 0.0, 0.2504371106624603, 0.016707604750990868, 0.32969972491264343, 0.31755805015563965, 0.0, 0.0, 0.0, 0.23751336336135864, 0.2111620306968689, 0.3043758273124695, 0.24063266813755035, 0.0, 0.16060525178909302, 0.22808781266212463]"
740,"[0.10163295269012451, 0.03633195906877518, 0.3206445276737213, 0.05871828645467758, 0.036134809255599976, 0.12552893161773682, 0.17859207093715668, 0.0, 0.267728328704834, 0.06582695990800858, 0.12530767917633057, 0.3150041401386261, 0.16055461764335632, 0.22442717850208282, 0.1274408996105194, 0.2857381999492645, 0.07444076985120773, 0.35119372606277466, 0.5805280208587646, 0.394778847694397]"
750,"[0.06626767665147781, 0.0, 0.25683072209358215, 0.0, 0.15034425258636475, 0.0, 0.33590200543403625, 0.0, 0.38560956716537476, 0.5042051672935486, 0.15007033944129944, 0.6430234313011169, 0.034532345831394196, 0.4270191490650177, 0.049594439566135406, 0.2546326518058777, 0.05519556626677513, 0.0, 0.05534893274307251, 0.13353677093982697]"
760,"[0.0, 0.09073573350906372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8639315385371447e-05, 0.0, 0.0, 0.0, 0.028202740475535393, 0.0, 0.8754998445510864, 0.08628568798303604, 0.20994380116462708, 0.0, 0.01064540445804596, 0.046021830290555954]"
770,"[0.12222287803888321, 0.0, 0.0, 0.11240255832672119, 0.0, 0.6046867370605469, 0.02624407596886158, 0.0, 0.016645336523652077, 0.0, 0.0, 0.0, 0.3222063481807709, 0.0, 0.004134174436330795, 0.0, 0.03573698177933693, 0.0, 0.1582646518945694, 0.24791839718818665]"
780,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2850101590156555, 0.5437784194946289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
790,"[0.0, 0.0, 0.0, 0.5177817940711975, 0.1880766898393631, 0.11669455468654633, 0.0, 0.27652961015701294, 0.0, 0.0, 0.034688737243413925, 0.18815995752811432, 0.07589518278837204, 0.0, 0.0, 0.0, 0.09508342295885086, 0.02946261689066887, 0.13587917387485504, 0.07424169778823853]"
800,"[0.1219341978430748, 0.01308931689709425, 0.26570531725883484, 0.41641172766685486, 0.234609916806221, 0.3363393545150757, 0.0, 0.27348029613494873, 0.06423601508140564, 0.08653052896261215, 0.8762080073356628, 0.3385741412639618, 0.1136048212647438, 0.049380943179130554, 0.09738966077566147, 0.17371423542499542, 0.02729431353509426, 0.4134995639324188, 0.06673584133386612, 0.07717882841825485]"
810,"[0.16287153959274292, 0.104678213596344, 0.44139036536216736, 0.1562884896993637, 0.29695194959640503, 0.14648973941802979, 0.24657192826271057, 0.21183297038078308, 0.3083607852458954, 0.19947142899036407, 0.24935641884803772, 0.39253824949264526, 0.09830687940120697, 0.21250435709953308, 0.050882793962955475, 0.22399748861789703, 0.08401241898536682, 0.34261202812194824, 0.4215002954006195, 0.2456701248884201]"
820,"[0.18077398836612701, 0.0892588347196579, 0.23142890632152557, 0.11651432514190674, 0.252754271030426, 0.32019293308258057, 0.11966437101364136, 0.14658653736114502, 0.4603809416294098, 0.3557908535003662, 0.4516248106956482, 0.5463538765907288, 0.11220429092645645, 0.10795429348945618, 0.12526153028011322, 0.1679542362689972, 0.0940791666507721, 0.1016402468085289, 0.1669216752052307, 0.12646491825580597]"
